# benchmark_mode: publication; auto_calibrated
# cpu_model: AMD Ryzen 9 7900X 12-Core Processor
# rustc: rustc 1.94.1 (e408947bf 2026-03-25)
# git_commit: 87dab8c29948a1a2e11cacc88f49d182bbd2e933
# git_state: dirty
# RUSTFLAGS: -C target-cpu=native
# release_profile: lto=fat, codegen-units=1, panic=abort
# pinned_cpus: 2
# governor: powersave
# turbo: unavailable
# smt: on
# command: ./target/release/sok-zk-friendly-hash-functions --csv
construction,variant,field,t,round_set,rounds,iters,rep,total_ns
monolith,,mersenne31,24,single,6,262144,2,216677918
polocolo,,bls12_381,3,single,6,1024,2,260886370
polocolo,,bls12_381,4,single,5,1024,2,290298865
polocolo,,bn254,3,single,6,1024,2,234380094
polocolo,,bn254,4,single,5,1024,2,261181972
tip4p,,goldilocks,12,single,5,262144,2,330774991
plain,sha256_compress,-,-,single,-,8388608,2,211088325
plain,keccak_f1600,-,-,single,-,524288,2,203132280
plain,blake2b_compress,-,-,single,-,2097152,2,239899728
plain,blake3_compress,-,-,single,-,4194304,2,270080107
gmimc,,bls12_381,3,single,228,16384,3,259252436
gmimc,,bls12_381,4,single,231,16384,3,265224004
gmimc,,bn254,3,single,228,16384,3,250079477
gmimc,,bn254,4,single,231,16384,3,254797523
gmimc,,goldilocks,8,single,68,524288,3,335842490
gmimc,,goldilocks,12,single,93,262144,3,235463558
gmimc,,mersenne31,16,single,158,262144,3,266539122
gmimc,,mersenne31,24,single,335,131072,3,320051655
gmimc,,koalabear,16,single,158,262144,3,305224413
gmimc,,koalabear,24,single,335,131072,3,328745109
gmimc,,babybear,16,single,158,131072,3,245695176
gmimc,,babybear,24,single,335,65536,3,258823175
gmimc2,alpha=8,bls12_381,3,single,63,32768,3,212993124
gmimc2,alpha=8,bls12_381,4,single,64,32768,3,218060532
gmimc2,alpha=8,bn254,3,single,63,32768,3,209741308
gmimc2,alpha=8,bn254,4,single,64,32768,3,212964661
gmimc2,alpha=4,goldilocks,8,single,88,262144,3,293997546
gmimc2,alpha=4,goldilocks,12,single,96,262144,3,360852620
gmimc2,alpha=2,mersenne31,16,single,176,65536,3,201581522
gmimc2,alpha=2,mersenne31,24,single,264,32768,3,224607936
gmimc2,alpha=2,koalabear,16,single,176,131072,3,289891554
gmimc2,alpha=2,koalabear,24,single,264,65536,3,233739287
gmimc2,alpha=2,babybear,16,single,176,131072,3,290063796
gmimc2,alpha=2,babybear,24,single,264,65536,3,234921585
poseidon,,bls12_381,3,single,8+56,16384,3,254350257
poseidon,,bls12_381,4,single,8+56,16384,3,374945151
poseidon,,bn254,3,single,8+56,16384,3,245557829
poseidon,,bn254,4,single,8+56,16384,3,366662115
poseidon,,goldilocks,8,single,8+22,131072,3,333219670
poseidon,,goldilocks,12,single,8+22,65536,3,319057749
poseidon,,mersenne31,16,single,8+14,65536,3,321454768
poseidon,,mersenne31,24,single,8+22,16384,3,225824018
poseidon,,koalabear,16,single,8+20,32768,3,250692923
poseidon,,koalabear,24,single,8+23,16384,3,299034828
poseidon,,babybear,16,single,8+13,65536,3,402413464
poseidon,,babybear,24,single,8+21,16384,3,286466835
poseidon2,,bls12_381,3,single,8+56,65536,3,315508928
poseidon2,,bls12_381,4,single,8+56,32768,3,283842882
poseidon2,,bn254,3,single,8+56,65536,3,308493189
poseidon2,,bn254,4,single,8+56,32768,3,273154883
poseidon2,,goldilocks,8,single,8+22,524288,3,390458467
poseidon2,,goldilocks,12,single,8+22,262144,3,267596807
poseidon2,,mersenne31,16,single,8+14,262144,3,249992164
poseidon2,,mersenne31,24,single,8+22,131072,3,209187303
poseidon2,,koalabear,16,single,8+20,262144,3,283447233
poseidon2,,koalabear,24,single,8+23,131072,3,205603456
poseidon2,,babybear,16,single,8+13,262144,3,304886301
poseidon2,,babybear,24,single,8+21,131072,3,247499677
neptune,,bls12_381,4,single,6+69,32768,3,324610534
neptune,,bn254,4,single,6+69,32768,3,313910471
neptune,,goldilocks,8,single,6+38,262144,3,315047346
neptune,,goldilocks,12,single,6+42,131072,3,303540997
psquarehash,,mersenne31,16,single,52,262144,3,243156653
psquarehash,,mersenne31,24,single,52,262144,3,353991801
psquarehash,,koalabear,16,single,52,262144,3,311818744
psquarehash,,koalabear,24,single,52,131072,3,230999348
psquarehash,,babybear,16,single,52,262144,3,310651832
psquarehash,,babybear,24,single,52,131072,3,231946678
rescue_prime,,bls12_381,3,current,16,1024,3,343140687
rescue_prime,,bls12_381,3,original,14,1024,3,300052199
rescue_prime,,bls12_381,4,current,13,1024,3,373152732
rescue_prime,,bls12_381,4,original,11,1024,3,315752914
rescue_prime,,bn254,3,current,16,1024,3,336792895
rescue_prime,,bn254,3,original,14,1024,3,294659092
rescue_prime,,bn254,4,current,13,1024,3,366214207
rescue_prime,,bn254,4,original,11,1024,3,309950142
rescue_prime,,goldilocks,8,single,8,16384,3,252388421
rescue_prime,,goldilocks,12,single,8,16384,3,393648858
rescue_prime,,mersenne31,16,single,8,16384,3,327927230
rescue_prime,,mersenne31,24,single,8,8192,3,264764956
rescue_prime,,koalabear,16,single,8,8192,3,235699129
rescue_prime,,koalabear,24,single,8,8192,3,381173027
rescue_prime,,babybear,16,single,8,8192,3,237350194
rescue_prime,,babybear,24,single,8,8192,3,383935449
anemoi,,bls12_381,4,current,20,1024,3,287057349
anemoi,,bls12_381,4,original,14,1024,3,200910588
anemoi,,bn254,4,current,20,1024,3,282016439
